COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,State fips
1001,0.053,0.074,0.134,0.295,0.444,1
1003,0.083,0.059,0.098,0.323,0.436,1
1005,0.067,0.121,0.12,0.201,0.491,1
1007,0.02,0.034,0.096,0.278,0.572,1
1009,0.053,0.114,0.18,0.194,0.459,1
1011,0.031,0.04,0.144,0.286,0.5,1
1013,0.102,0.053,0.257,0.137,0.451,1
1015,0.152,0.108,0.13,0.167,0.442,1
1017,0.117,0.037,0.15,0.136,0.56,1
1019,0.135,0.027,0.161,0.158,0.52,1
1021,0.06,0.07,0.058,0.194,0.618,1
1023,0.049,0.038,0.126,0.219,0.568,1
1025,0.049,0.088,0.164,0.268,0.43,1
1027,0.148,0.158,0.195,0.169,0.329,1
1029,0.151,0.125,0.138,0.217,0.368,1
1031,0.101,0.152,0.094,0.186,0.466,1
1033,0.082,0.096,0.152,0.159,0.51,1
1035,0.099,0.052,0.259,0.192,0.399,1
1037,0.055,0.131,0.167,0.263,0.384,1
1039,0.187,0.128,0.129,0.201,0.356,1
1041,0.06,0.091,0.199,0.233,0.416,1
1043,0.13,0.024,0.249,0.217,0.379,1
1045,0.089,0.113,0.118,0.22,0.46,1
1047,0.095,0.1,0.159,0.122,0.524,1
1049,0.084,0.051,0.106,0.179,0.58,1
1051,0.042,0.095,0.127,0.252,0.485,1
1053,0.114,0.026,0.188,0.285,0.387,1
1055,0.096,0.103,0.178,0.122,0.501,1
1057,0.138,0.048,0.151,0.233,0.429,1
1059,0.065,0.071,0.223,0.156,0.484,1
1061,0.176,0.131,0.089,0.158,0.445,1
1063,0.03,0.053,0.127,0.167,0.623,1
1065,0.026,0.061,0.084,0.191,0.639,1
1067,0.066,0.068,0.17,0.258,0.438,1
1069,0.085,0.079,0.135,0.268,0.433,1
1071,0.092,0.089,0.11,0.249,0.46,1
1073,0.049,0.037,0.107,0.179,0.628,1
1075,0.107,0.045,0.132,0.189,0.527,1
1077,0.093,0.119,0.141,0.179,0.469,1
1079,0.162,0.08,0.088,0.251,0.419,1
1081,0.053,0.064,0.138,0.183,0.562,1
1083,0.102,0.034,0.133,0.336,0.395,1
1085,0.12,0.073,0.145,0.199,0.464,1
1087,0.008,0.033,0.241,0.172,0.545,1
1089,0.062,0.05,0.123,0.177,0.589,1
1091,0.033,0.151,0.118,0.186,0.512,1
1093,0.129,0.064,0.246,0.207,0.353,1
1095,0.075,0.064,0.129,0.253,0.479,1
1097,0.077,0.07,0.102,0.244,0.506,1
1099,0.112,0.041,0.182,0.288,0.378,1
1101,0.056,0.095,0.123,0.212,0.513,1
1103,0.078,0.077,0.082,0.304,0.459,1
1105,0.025,0.084,0.087,0.187,0.618,1
1107,0.031,0.06,0.169,0.157,0.584,1
1109,0.06,0.131,0.145,0.333,0.33,1
1111,0.158,0.226,0.105,0.144,0.368,1
1113,0.069,0.067,0.08,0.213,0.57,1
1115,0.027,0.134,0.144,0.2,0.495,1
1117,0.022,0.075,0.118,0.24,0.545,1
1119,0.055,0.068,0.118,0.197,0.562,1
1121,0.113,0.15,0.208,0.169,0.361,1
1123,0.067,0.095,0.136,0.296,0.406,1
1125,0.041,0.036,0.144,0.247,0.532,1
1127,0.09,0.081,0.145,0.256,0.429,1
1129,0.018,0.077,0.102,0.307,0.495,1
1131,0.061,0.098,0.199,0.187,0.455,1
1133,0.13,0.046,0.328,0.183,0.312,1
2013,0.067,0.032,0.034,0.316,0.551,2
2016,0.078,0.031,0.03,0.337,0.524,2
2020,0.042,0.05,0.049,0.196,0.663,2
