county,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,State fips,death_rate_confirmed,death_rate,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,Census,Estimates Base,comfirmed_cases/population
Autauga,Alabama,1001,2417,36,2165,33,1,0.015242494,0.014894497,0.053,0.074,0.134,0.295,0.444,54571,54597,0.039673086
Baldwin,Alabama,1003,7523,84,6309,80,1,0.012680298,0.011165758,0.083,0.059,0.098,0.323,0.436,182265,182265,0.034614435
Barbour,Alabama,1005,1117,9,765,9,1,0.011764706,0.008057296,0.067,0.121,0.12,0.201,0.491,27457,27455,0.027861747
Bibb,Alabama,1007,973,17,873,13,1,0.01489118,0.017471737,0.02,0.034,0.096,0.278,0.572,22915,22915,0.038097316
Blount,Alabama,1009,2488,34,1904,33,1,0.017331933,0.013665595,0.053,0.114,0.18,0.194,0.459,57322,57322,0.033215868
Bullock,Alabama,1011,673,19,631,15,1,0.023771791,0.028231798,0.031,0.04,0.144,0.286,0.5,10914,10911,0.05781565
Butler,Alabama,1013,1068,41,1014,40,1,0.039447732,0.038389513,0.102,0.053,0.257,0.137,0.451,20947,20940,0.048407887
Calhoun,Alabama,1015,5429,77,4577,68,1,0.014856893,0.014183091,0.152,0.108,0.13,0.167,0.442,118572,118526,0.038601019
Chambers,Alabama,1017,1545,48,1005,41,1,0.04079602,0.031067961,0.117,0.037,0.15,0.136,0.56,34215,34169,0.029373082
Cherokee,Alabama,1019,892,15,642,14,1,0.021806854,0.016816143,0.135,0.027,0.161,0.158,0.52,25989,25979,0.024702759
Chilton,Alabama,1021,2053,36,1847,29,1,0.015701137,0.017535314,0.06,0.07,0.058,0.194,0.618,43643,43632,0.042320647
Choctaw,Alabama,1023,409,12,376,12,1,0.031914894,0.029339853,0.049,0.038,0.126,0.219,0.568,13859,13858,0.027130385
Clarke,Alabama,1025,1485,18,1211,16,1,0.013212221,0.012121212,0.049,0.088,0.164,0.268,0.43,25833,25833,0.046878024
Clay,Alabama,1027,833,13,715,13,1,0.018181818,0.015606242,0.148,0.158,0.195,0.169,0.329,13932,13930,0.051320701
Cleburne,Alabama,1029,655,11,610,11,1,0.018032787,0.016793893,0.151,0.125,0.138,0.217,0.368,14972,14972,0.04074272
Coffee,Alabama,1031,2116,12,1584,7,1,0.004419192,0.005671078,0.101,0.152,0.094,0.186,0.466,49948,49955,0.031712982
Colbert,Alabama,1033,2681,38,2201,35,1,0.015901863,0.014173816,0.082,0.096,0.152,0.159,0.51,54428,54428,0.040438745
Conecuh,Alabama,1035,637,14,518,14,1,0.027027027,0.021978022,0.099,0.052,0.259,0.192,0.399,13228,13236,0.039159359
Coosa,Alabama,1037,257,3,169,3,1,0.017751479,0.011673152,0.055,0.131,0.167,0.263,0.384,11539,11756,0.014645983
Covington,Alabama,1039,2008,32,1132,29,1,0.025618375,0.015936255,0.187,0.128,0.129,0.201,0.356,37765,37762,0.029974844
Crenshaw,Alabama,1041,669,30,517,29,1,0.056092843,0.044843049,0.06,0.091,0.199,0.233,0.416,13906,13893,0.037178196
