state,State_fips,cases,deaths,confirmed_cases,confirmed_deaths,death_rate_comfirmed,death_rate,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,State,Census,Estimates Base,cases/population,state_name,total_inpatient_beds,total_icu_beds,pct_inpatient_bed_utilization,pct_inpatients_with_covid,pct_icu_bed_utilization,icu_beds_used_estimate,inpatient_beds_used_estimate,inpatient_beds_used_covid_est,Total,Any_coverage,Uninsured,Private,Employer-based,Direct-purchase,TRICARE,Public,Medicaid,Medicare,VA Care,Any_coverage/population
Alabama,1,213617,3231,180275,2989,0.016580225,0.015125201,0.081567164,0.081089552,0.14661194,0.215343284,0.475313433,Alabama,4779736,4780125,0.044692217,Alabama,14055,2137,75.6,9.81,85.94,1290,10702,1389,4823000,4354000,469000,3228000,2607000,640000,231000,1797000,947000,1003000,132000,0.910928972
Alaska,2,21689,90,,,,0.004149569,0.055592593,0.065037037,0.088814815,0.328888889,0.461555556,Alaska,415593,415648,0.052188078,Alaska,1178,228,62.54,10.53,74.24,98,885,149,706000,620000,86000,457000,382000,52000,69000,248000,154000,99000,29000,1.491844184
Arizona,4,270596,6257,,,,0.023123032,0.049666667,0.0532,0.094666667,0.147333333,0.655,Arizona,6392017,6392288,0.042333429,Arizona,10764,1921,74.26,12.77,63.18,1232,10044,1725,7166000,6357000,809000,4490000,3629000,898000,242000,2750000,1492000,1413000,212000,0.994521761
Arkansas,5,130318,2148,116787,1968,0.016851191,0.016482758,0.09092,0.087253333,0.13836,0.220626667,0.462866667,Arkansas,2915918,2916031,0.044691929,Arkansas,7743,1397,65.22,11.43,74,760,5447,955,2963000,2692000,271000,1757000,1386000,388000,92000,1303000,787000,614000,94000,0.923208403
California,6,1018433,18215,1015239,18215,0.017941588,0.01788532,0.032310345,0.030724138,0.063689655,0.158603448,0.714637931,California,37253956,37254519,0.02733758,California,60674,8744,72.55,8.06,74.55,5419,45684,5065,38998000,35996000,3002000,24913000,20687000,4729000,678000,14749000,9926000,6100000,585000,0.966232955
Colorado,8,152929,2519,,,,0.016471696,0.03915625,0.0719375,0.097265625,0.244328125,0.5474375,Colorado,5029196,5029319,0.03040824,Colorado,9630,1693,68.13,14.82,73.48,953,6863,1493,5664000,5211000,453000,4016000,3249000,754000,230000,1785000,967000,886000,143000,1.036149715
Connecticut,9,88645,4737,,,,0.05343787,0.0175,0.023,0.053625,0.126375,0.7795,Connecticut,3574097,3574147,0.024802069,Connecticut,8079,1376,73.15,12.37,52.89,558,5987,1012,3515000,3307000,207000,2440000,2081000,423000,48000,1303000,766000,648000,55000,0.925268676
Delaware,10,28016,734,,,,0.026199315,0.019333333,0.006666667,0.060666667,0.095666667,0.817666667,Delaware,897934,897937,0.031200511,Delaware,2155,307,72.61,7.72,81.03,141,1824,194,956000,894000,63000,678000,568000,130000,42000,378000,198000,207000,24000,0.995618832
District of Columbia,11,18666,657,18666,657,0.035197686,0.035197686,0.012,0.013,0.069,0.164,0.743,District of Columbia,601723,601767,0.031020918,District of Columbia,2789,583,83.49,8.07,75.88,280,2422,234,697000,672000,25000,506000,427000,90000,14000,238000,173000,92000,10000,1.116792943
Florida,12,870544,17444,,,,0.020038045,0.055253731,0.057522388,0.110343284,0.194298507,0.582552239,Florida,18801310,18804564,0.046302306,Florida,78308,6988,77.9,8.26,77.84,4743,39388,4087,21157000,18372000,2784000,13216000,9682000,3576000,772000,7780000,3663000,4782000,613000,0.977165953
