date,county,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,State fips
11/13/2020,Autauga,Alabama,1001,2417,36,2165,33,1
11/13/2020,Baldwin,Alabama,1003,7523,84,6309,80,1
11/13/2020,Barbour,Alabama,1005,1117,9,765,9,1
11/13/2020,Bibb,Alabama,1007,973,17,873,13,1
11/13/2020,Blount,Alabama,1009,2488,34,1904,33,1
11/13/2020,Bullock,Alabama,1011,673,19,631,15,1
11/13/2020,Butler,Alabama,1013,1068,41,1014,40,1
11/13/2020,Calhoun,Alabama,1015,5429,77,4577,68,1
11/13/2020,Chambers,Alabama,1017,1545,48,1005,41,1
11/13/2020,Cherokee,Alabama,1019,892,15,642,14,1
11/13/2020,Chilton,Alabama,1021,2053,36,1847,29,1
11/13/2020,Choctaw,Alabama,1023,409,12,376,12,1
11/13/2020,Clarke,Alabama,1025,1485,18,1211,16,1
11/13/2020,Clay,Alabama,1027,833,13,715,13,1
11/13/2020,Cleburne,Alabama,1029,655,11,610,11,1
11/13/2020,Coffee,Alabama,1031,2116,12,1584,7,1
11/13/2020,Colbert,Alabama,1033,2681,38,2201,35,1
11/13/2020,Conecuh,Alabama,1035,637,14,518,14,1
11/13/2020,Coosa,Alabama,1037,257,3,169,3,1
11/13/2020,Covington,Alabama,1039,2008,32,1132,29,1
11/13/2020,Crenshaw,Alabama,1041,669,30,517,29,1
11/13/2020,Cullman,Alabama,1043,3596,30,2683,23,1
11/13/2020,Dale,Alabama,1045,2142,54,1568,54,1
11/13/2020,Dallas,Alabama,1047,2043,28,1669,26,1
11/13/2020,DeKalb,Alabama,1049,4118,34,3778,33,1
11/13/2020,Elmore,Alabama,1051,3587,61,3092,57,1
11/13/2020,Escambia,Alabama,1053,1862,31,1481,30,1
11/13/2020,Etowah,Alabama,1055,5187,60,4529,58,1
11/13/2020,Fayette,Alabama,1057,714,15,615,13,1
11/13/2020,Franklin,Alabama,1059,2309,33,2129,33,1
11/13/2020,Geneva,Alabama,1061,1078,8,752,8,1
11/13/2020,Greene,Alabama,1063,369,17,341,15,1
11/13/2020,Hale,Alabama,1065,851,30,754,29,1
11/13/2020,Henry,Alabama,1067,807,6,496,5,1
11/13/2020,Houston,Alabama,1069,4688,37,2639,28,1
