County,STATE,fips,Census,Estimates Base
Autauga, Alabama,1001,54571,54597
Baldwin, Alabama,1003,182265,182265
Barbour, Alabama,1005,27457,27455
Bibb, Alabama,1007,22915,22915
Blount, Alabama,1009,57322,57322
Bullock, Alabama,1011,10914,10911
Butler, Alabama,1013,20947,20940
Calhoun, Alabama,1015,118572,118526
Chambers, Alabama,1017,34215,34169
Cherokee, Alabama,1019,25989,25979
Chilton, Alabama,1021,43643,43632
Choctaw, Alabama,1023,13859,13858
Clarke, Alabama,1025,25833,25833
Clay, Alabama,1027,13932,13930
Cleburne, Alabama,1029,14972,14972
Coffee, Alabama,1031,49948,49955
Colbert, Alabama,1033,54428,54428
Conecuh, Alabama,1035,13228,13236
Coosa, Alabama,1037,11539,11756
Covington, Alabama,1039,37765,37762
Crenshaw, Alabama,1041,13906,13893
Cullman, Alabama,1043,80406,80406
Dale, Alabama,1045,50251,50251
Dallas, Alabama,1047,43820,43813
DeKalb, Alabama,1049,71109,71120
Elmore, Alabama,1051,79303,79272
Escambia, Alabama,1053,38319,38320
Etowah, Alabama,1055,104430,104429
Fayette, Alabama,1057,17241,17235
Franklin, Alabama,1059,31704,31709
Geneva, Alabama,1061,26790,26781
Greene, Alabama,1063,9045,9039
Hale, Alabama,1065,15760,15762
Henry, Alabama,1067,17302,17299
Houston, Alabama,1069,101547,101560
Jackson, Alabama,1071,53227,53223
Jefferson, Alabama,1073,658466,658567
Lamar, Alabama,1075,14564,14564
Lauderdale, Alabama,1077,92709,92709
Lawrence, Alabama,1079,34339,34337
Lee, Alabama,1081,140247,140287
Limestone, Alabama,1083,82782,82786
Lowndes, Alabama,1085,11299,11296
Macon, Alabama,1087,21452,21448
Madison, Alabama,1089,334811,334807
Marengo, Alabama,1091,21027,21048
Marion, Alabama,1093,30776,30776
Marshall, Alabama,1095,93019,93019
Mobile, Alabama,1097,412992,413139
Monroe, Alabama,1099,23068,23067
Montgomery, Alabama,1101,229363,229375
Morgan, Alabama,1103,119490,119490
Perry, Alabama,1105,10591,10575
Pickens, Alabama,1107,19746,19746
Pike, Alabama,1109,32899,32901
Randolph, Alabama,1111,22913,22916
Russell, Alabama,1113,52947,52963
St. Clair, Alabama,1115,83593,83350
Shelby, Alabama,1117,195085,195253
Sumter, Alabama,1119,13763,13763
Talladega, Alabama,1121,82291,82353
Tallapoosa, Alabama,1123,41616,41618
Tuscaloosa, Alabama,1125,194656,194667
Walker, Alabama,1127,67023,67020
Washington, Alabama,1129,17581,17580
Wilcox, Alabama,1131,11670,11664
Winston, Alabama,1133,24484,24488
Aleutians East Borough, Alaska,2013,3141,3141
Aleutians West Census Area, Alaska,2016,5561,5561
Bethel Census Area, Alaska,2050,17013,17013
Bristol Bay Borough, Alaska,2060,997,997
Denali Borough, Alaska,2068,1826,1822
Dillingham Census Area, Alaska,2070,4847,4847
Fairbanks North Star Borough, Alaska,2090,97581,97585
Haines Borough, Alaska,2100,2508,2508
Juneau City and Borough, Alaska,2110,31275,31276
Kenai Peninsula Borough, Alaska,2122,55400,55400
Ketchikan Gateway Borough, Alaska,2130,13477,13526
Kodiak Island Borough, Alaska,2150,13592,13606
Kusilvak Census Area, Alaska,2158,7459,7459
Lake and Peninsula Borough, Alaska,2164,1631,1635
Matanuska-Susitna Borough, Alaska,2170,88995,88985
Nome Census Area, Alaska,2180,9492,9492
North Slope Borough, Alaska,2185,9430,9430
Northwest Arctic Borough, Alaska,2188,7523,7523
Petersburg Borough, Alaska,2195,3815,3207
